도서명	저자	출판사	출판일	가격
심플 디자인	박영록	위키북스	2026년 07월	16,200
한눈에 보는 대한민국 코스피	MrTrigger	한빛미디어	2026년 06월	23,400
혼자 완성하는 Java 풀코스	심상원	아이콕스(iCox)	2026년 07월	30,600
다름을 연결하는 교실 설계자가 되기 위한 필수 실천서! AI 에듀테크로 다문화 수업 쉽게 설계하기!	유영미, 유예찬, 이근경, 이효진, 정홍교, 정보 더 보기/감추기, 유영미, 유예찬, 이근경, 이효진, 정홍교, 박천용, 김승환, 송지영, 김민주, 양은숙, 손지후, 강동호, 김가람, 오지현, 오가람	광문각출판미디어	2026년 06월	20,000
셀프프롬프트	전행진	퍼블리터	2026년 06월	16,650
캔바로 만든 디자인, 돈이 됩니다	리몬(안형선)	길벗	2026년 06월	19,800
AI가 다 하고 내가 돈 버는 앱 만들기	서희찬	길벗	2026년 05월	25,200
AI 게임 개발 시작	김정태	홍릉	2026년 05월	25,000
AI 바이브 코딩 마스터	정의석, 정윤식	영진닷컴	2026년 05월	32,400
클로드 디자인 시작하기	조남경	비엘북스	2026년 05월	22,500
맛있는 디자인 포토샵 CC 2026	윤이사라	한빛미디어	2026년 04월	23,400
된다! 하루 만에 준비하는 캔바 AI 수업 활용법 with 2022 개정 교육과정	정인걸, 김경수	이지스퍼블리싱	2026년 05월	21,600
에이전트 시대의 AI 시스템 설계	발리아파 락슈마난, 하네스 막스 하프케, 류광	한빛미디어	2026년 04월	37,800
하이러닝으로 끝내는 AI 디지털 수업 50제	유지현, 조윤호, 고윤경, 진연자, 곽지현, 정보 더 보기/감추기, 유지현, 조윤호, 고윤경, 진연자, 곽지현, 최혜진, 최정은, 조희정, 조연영, 이성찬, 허윤영, 정승연	한빛미디어	2026년 04월	21,600
바이브 코딩 with 구글 안티그래비티	노성환	영진닷컴	2026년 04월	16,200
그림으로 배우는 생성형 AI	프리양카 베르가디아, 발리아파 락슈마난, 류광	한빛미디어	2026년 04월	29,700
새나곰의 똥손도 바로 시작하는 인스타툰 그리기 with 클립 스튜디오	새나곰(정은아)	한빛미디어	2026년 03월	20,700
캔바 AI	신승희, 앤미디어	생능북스	2026년 03월	21,600
엑셀 대신 챗GPT	오종현	한빛미디어	2026년 03월	19,800
요즘 바이브 코딩 안티그래비티 완벽 가이드	최지호	골든래빗	2026년 02월	25,200
초등학생을 위한 AI 미래 지식 74	김영현, 최정을	길벗스쿨	2026년 01월	15,300
수노로 시작하는 AI 작곡	강성우, 한나래	제이펍	2025년 12월	18,000
어쨌든, 바이브 코딩	코다프레스, 양희은	인사이트(insight)	2025년 12월	19,800
